creators,date,ia_formats,ia_id,ia_url,ol_id,publisher,text_filename,title,trove_url,version_id,work_id
Australasian Institute of Mining and Metallurgy,uuuu,Item Tile|DjVu|Animated GIF|Text PDF|Abbyy GZ|Archive BitTorrent|Grayscale LuraTech PDF|Dublin Core|DjVuTXT|Djvu XML|Metadata|Single Page Processed JP2 ZIP|MARC|MARC Binary|Metadata|Metadata|MARC Source|Single Page Original JP2 Tar|Scandata,proceedings3744aust,https://archive.org/details/proceedings3744aust,OL25486974M,Melbourne,proceedings3744aust_djvu.txt,Proceedings,https://trove.nla.gov.au/version/209724658 209783430 209788378 209827438,209724658 209783430 209788378 209827438,11468740
Australasian Institute of Mining and Metallurgy,uuuu,Item Tile|DjVu|Animated GIF|Text PDF|Abbyy GZ|Archive BitTorrent|Grayscale LuraTech PDF|Dublin Core|DjVuTXT|Djvu XML|Metadata|Single Page Processed JP2 ZIP|MARC|MARC Binary|Metadata|Metadata|MARC Source|Single Page Original JP2 Tar|Scandata,proceedings4552aust,https://archive.org/details/proceedings4552aust,OL25486976M,Melbourne,proceedings4552aust_djvu.txt,Proceedings,https://trove.nla.gov.au/version/209724658 209783430 209788378 209827438,209724658 209783430 209788378 209827438,11468740
Robyn J. Maxwell|National Gallery of Australia.,2003,JPEG Thumb|DjVu|Animated GIF|Text PDF|Abbyy GZ|Archive BitTorrent|Dublin Core|DjVuTXT|Djvu XML|Metadata|Single Page Processed JP2 ZIP|MARC|Metadata Log|MARC Binary|Metadata|Metadata|MARC Source|Single Page Original JP2 Tar|Scandata|Contents|OCLC xISBN JSON,saritosarongfive00maxw,https://archive.org/details/saritosarongfive00maxw,OL3331316M,[Canberra?] National Gallery of Australia,saritosarongfive00maxw_djvu.txt,Sari to sarong five hundred years of Indian and Indonesian textile exchange Robyn Maxwell.,https://trove.nla.gov.au/version/211653589,211653589,11490407
Sydney De Loghe,1917,Item Tile|Scribe Scandata ZIP|DjVu|Animated GIF|Text PDF|Abbyy GZ|Archive BitTorrent|Grayscale LuraTech PDF|Dublin Core|DjVuTXT|Djvu XML|Metadata|Single Page Processed JP2 ZIP|MARC|MARC Binary|Metadata|Metadata|MARC Source|Single Page Raw JP2 ZIP,straitsimpregnab00delouoft,https://archive.org/details/straitsimpregnab00delouoft,OL7044225M,London J. Murray,straitsimpregnab00delouoft_djvu.txt,The Straits impregnable by Sydney De Loghe.,https://trove.nla.gov.au/version/1246257,1246257,1149934
E. J. Banfield 1852-1923,1918,Item Tile|DjVu|Animated GIF|Standard LuraTech PDF|Abbyy GZ|Archive BitTorrent|Biodiversity Heritage Library METS|Grayscale LuraTech PDF|Dublin Core|DjVuTXT|Djvu XML|Metadata|Single Page Processed JP2 ZIP|MARC|MARC Binary|Metadata|Metadata|MARC Source|Single Page Original JP2 Tar|Scandata|Scan Factors,tropicdays00banfuoft,https://archive.org/details/tropicdays00banfuoft,OL23350767M,London T.F. Unwin,tropicdays00banfuoft_djvu.txt,Tropic days by E. J. Banfield.,https://trove.nla.gov.au/version/3351570,3351570,1150069
E. J. Banfield 1852-1923,1918,Item Tile|Scribe Scandata ZIP|DjVu|Animated GIF|Text PDF|Abbyy GZ|Archive BitTorrent|Grayscale LuraTech PDF|Dublin Core|DjVuTXT|Djvu XML|Metadata|Single Page Processed JP2 ZIP|MARC|MARC Binary|Metadata|Metadata|MARC Source|Single Page Raw JP2 ZIP,tropicdays00banfiala,https://archive.org/details/tropicdays00banfiala,OL7044264M,"London T. F. Unwin, ltd.",tropicdays00banfiala_djvu.txt,Tropic days by E. J. Banfield ... with 37 illustrations.,https://trove.nla.gov.au/version/1246419,1246419,1150069
Frederick Danvers Power 1861-,1912,DjVu|Animated GIF|Image Container PDF|Abbyy GZ|Archive BitTorrent|Dublin Core|Metadata|DjVuTXT|Djvu XML|Metadata|Single Page Processed JP2 ZIP|MARC|MARC Binary|Metadata|Scandata,coalfieldscolli00powegoog,https://archive.org/details/coalfieldscolli00powegoog,OL6547186M,Melbourne C. Parker,coalfieldscolli00powegoog_djvu.txt,Coalfields & collieries of Australia by F. Danvers Power.,https://trove.nla.gov.au/version/1249708 49205540,1249708 49205540,1152953
Frederick Danvers Power 1861-,1912,Item Tile|DjVu|Animated GIF|Text PDF|Abbyy GZ|Archive BitTorrent|Dublin Core|DjVuTXT|Djvu XML|Metadata|Single Page Processed JP2 ZIP|MARC|MARC Binary|Metadata|MARC Source|Single Page Raw JP2 ZIP|Scribe Scandata ZIP,coalfieldscollie00powerich,https://archive.org/details/coalfieldscollie00powerich,OL7044991M,Melbourne C. Parker,coalfieldscollie00powerich_djvu.txt,Coalfields & collieries of Australia by F. Danvers Power.,https://trove.nla.gov.au/version/1249708 49205540,1249708 49205540,1152953
Frederick Danvers Power 1861-,1912,Item Tile|DjVu|Animated GIF|Text PDF|Abbyy GZ|Archive BitTorrent|Biodiversity Heritage Library METS|Grayscale LuraTech PDF|Dublin Core|DjVuTXT|Djvu XML|Metadata|Single Page Processed JP2 ZIP|MARC|MARC Binary|Metadata|Metadata|MARC Source|METS|Single Page Raw JP2 ZIP|Scribe Scandata ZIP,coalfieldscollie00poweuoft,https://archive.org/details/coalfieldscollie00poweuoft,OL7210895M,"Melbourne, Australia Critchley Parker",coalfieldscollie00poweuoft_djvu.txt,Coalfields & collieries of Australia.,https://trove.nla.gov.au/version/2017395,2017395,1152953
Lorna M. Ryan,1932,Item Tile|Log|Log|Text PDF|Abbyy GZ|Archive BitTorrent|Dublin Core|DjVuTXT|Djvu XML|JSON|Metadata|Single Page Processed JP2 ZIP|MARC|MARC Binary|Metadata|Metadata|MARC Source|Single Page Original JP2 Tar|Scandata|Contents,wheniwasgirlinau00ryan,https://archive.org/details/wheniwasgirlinau00ryan,OL6279499M,"Boston Lothrop, Lee & Shepard",wheniwasgirlinau00ryan_djvu.txt,When I was a girl in Australia by Lorna M. Ryan; illustrated from photographs.,https://trove.nla.gov.au/version/260755857,260755857,11536637
A. L. Haydon 1872-,1912,DjVu|Animated GIF|Text PDF|Abbyy GZ|Archive BitTorrent|Raw Cornell Book Zip|Dublin Core|DjVuTXT|Djvu XML|Metadata|Single Page Processed JP2 ZIP|MARC|MARC Binary|Metadata|Scandata,cu31924030329480,https://archive.org/details/cu31924030329480,OL6551480M,Chicago A.C. McClurg,cu31924030329480_djvu.txt,"The trooper police of Australia a record of mounted police work in the commonwealth from the earliest day of settlement to the present time by A.L. Haydon. Illustrated with photographs, maps and diagrams.",https://trove.nla.gov.au/version/49159657,49159657,11613509
