children,contributors,date,form,fulltext_url,pages,parent,title,trove_id,url,volume
,,1856,Book,http://nla.gov.au/nla.obj-73416856,3,,"[Memorial on behalf of the Crown tenants of Victoria to the Right Honorable Henry Labouchere, Secretary of State for the Colonies]",nla.obj-73416856,https://trove.nla.gov.au/work/18547044,
,,1856,Book,http://nla.gov.au/nla.obj-73416642,1,,"[Memorial from the tenants of the Crown in Victoria to the Earl of Aberdeen, Prime Minister of the United Kingdom of Great Britain and Ireland]",nla.obj-73416642,https://trove.nla.gov.au/work/18547061,
,"Coster, Frederick",1857,Book,http://nla.gov.au/nla.obj-83961682,20,,"Land system for Victoria : embodied in a letter to Archibald Michie, Esq., M.L.A. ... / by Frederick Coster",nla.obj-83961682,https://trove.nla.gov.au/work/18548070,
,,1858,Book,http://nla.gov.au/nla.obj-83936933,12,,Hints on the land question,nla.obj-83936933,https://trove.nla.gov.au/work/18548082,
,"Gordon, David J. (David John), 1865-1946",1902,Book,http://nla.gov.au/nla.obj-2964280,19,,Points for the people on the river question / by David J. Gordon,nla.obj-2964280,https://trove.nla.gov.au/work/18548232,
,Great Britain. Army. 17 (Leicestershire) Regiment of foot,1831-1931,Book,http://nla.gov.au/nla.obj-44338422,65,,"Regimental standing orders of the Seventeenth Regiment, March, 1831",nla.obj-44338422,https://trove.nla.gov.au/work/18548376,
,,1865-1869,Book,http://nla.gov.au/nla.obj-71931024,46,,"The Land Act, 1862 and the Amending Land Act, 1865 : together with the regulations and forms under the Act",nla.obj-71931024,https://trove.nla.gov.au/work/18548418,
,,1861,Book,http://nla.gov.au/nla.obj-72158069,61,,Acts and regulations relating to the waste lands in the colony of Queensland,nla.obj-72158069,https://trove.nla.gov.au/work/18548421,
,,1830,Book,http://nla.gov.au/nla.obj-88844640,1,,The Irish transport,nla.obj-88844640,https://trove.nla.gov.au/work/18549782,
,"Fellmann, H. (Heinrich), 1871-1946",1918,Book,http://nla.gov.au/nla.obj-247668742,64,,A varveai ik ure ra papalum na lotu ta ra qunan Bismarek Arkipel / a patuana H. Fellmann (Misa Pelman) i qa tumu ia,nla.obj-247668742,https://trove.nla.gov.au/work/18550779,
,"Rusden, G. W. (George William), 1819-1903",1868,Book,http://nla.gov.au/nla.obj-562490309,16,,"Remarks on the status of colonial bishops, and the law concerning bishops in Victoria / by G.W. Rusden",nla.obj-562490309,https://trove.nla.gov.au/work/18554859,
,India. Ministry of Information and Broadcasting,1965,Picture,http://nla.gov.au/nla.obj-252768229,0,,Pakistan's aggression in Kutch,nla.obj-252768229,https://trove.nla.gov.au/work/18555001,
,,1960-1969,Book,http://nla.gov.au/nla.obj-348880937,1,,"Laughter born of bewilderment : internationally famous : the Great Levante : modern magic with a magnificent flourish : one of this world's top-line entertainers, his like you may never see again",nla.obj-348880937,https://trove.nla.gov.au/work/185552161,
,,1965,Picture,http://nla.gov.au/nla.obj-252771274,0,,Pakistan's wanton attack in Kutch,nla.obj-252771274,https://trove.nla.gov.au/work/18556132,
,"Turner, Henry Gyles, 1831-1920",1869,Book,http://nla.gov.au/nla.obj-715858096,20,,"Spiritualism : a paper read before the Eclectic Association of Melbourne, on September 2nd, 1869 / by Henry G. Turner",nla.obj-715858096,https://trove.nla.gov.au/work/18556173,
,"Ashton, Charles",1800-1899,Book,https://nla.gov.au/nla.obj-487278873,2,,"The convicts dream : Port Arthur penal settlement, 1852 / composed and written by Charles Ashton",nla.obj-487278873,https://trove.nla.gov.au/work/18556221,
,Country Women's Association of Victoria,1949,Book,http://nla.gov.au/nla.obj-317633142,81,,Twenty-one years : a brief history of the Association since it was founded in 1928,nla.obj-317633142,https://trove.nla.gov.au/work/18556877,
,Union Bank of Australia,1840,Book,http://nla.gov.au/nla.obj-3612752,42,,Prospectus and reports of the Union Bank of Australia : with a list of proprietors,nla.obj-3612752,https://trove.nla.gov.au/work/18557575,
,"Collins, P. F",1900-1910,Book,http://nla.gov.au/nla.obj-118092856,1,,Keep Australia white : Australia's song,nla.obj-118092856,https://trove.nla.gov.au/work/18557802,
,Victoria. Parliament. Legislative Assembly. Select Committee Appointed to Consider and Report upon the Subject of a Federal Union of the Australian Colonies,1862,Book,http://nla.gov.au/nla.obj-444978635,66,,Papers relating to a federal union of The Australian colonies,nla.obj-444978635,https://trove.nla.gov.au/work/18559187,
,"Duffy, Charles Gavan, Sir, 1816-1903",1872,Book,http://nla.gov.au/nla.obj-394003677,24,,"Distribution of patronage by the Duffy government : speech of the Honourable the Chief Secretary on the motion of no confidence, Legislative Assembly, May 22, 1872",nla.obj-394003677,https://trove.nla.gov.au/work/18559215,
,"Wyndham, George, active 1865-1866",1866,Book,http://nla.gov.au/nla.obj-78641139,12,,"On the land policy of New South Wales / by Mr. Wyndham, of Dalwood",nla.obj-78641139,https://trove.nla.gov.au/work/18559283,
,,1934,Book,http://nla.gov.au/nla.obj-30046333,310,,500 Victorians,nla.obj-30046333,https://trove.nla.gov.au/work/18559531,
,Darling Downs and Western Land Co,1884,Book,http://nla.gov.au/nla.obj-71370110,22,,"Particulars and descriptions of the various properties belonging to the Darling Downs and Western Land Company, Limited, Brisbane, Queensland",nla.obj-71370110,https://trove.nla.gov.au/work/18559753,
,"Akhurst, W. M. (William M.), 1822-1878",1870,Book,http://nla.gov.au/nla.obj-52783642,36,,"The house that Jack built, or, Harlequin progress, and the love's laughs, laments and labors, of Jack Melbourne, and Little Victoria : a fairy extravaganza opening to pantomime / by W.M. Akhurst",nla.obj-52783642,https://trove.nla.gov.au/work/18559985,
,"Akhurst, W. M. (William M.), 1822-1878",1868-1869,Book,http://nla.gov.au/nla.obj-263204004,36,,"Paris the prince, and Helen the fair, or, The giant horse and the siege of Troy! : a classical burlesque extravaganza / by W.M. Akhurst",nla.obj-263204004,https://trove.nla.gov.au/work/18560016,
,"Hunt, H. A. (Henry Ambrose)",1895-1899,Book,http://nla.gov.au/nla.obj-70703747,39,,Types of Australian  weather / by Henry A. Hunt,nla.obj-70703747,https://trove.nla.gov.au/work/18560055,
,,1830,Picture,http://nla.gov.au/nla.obj-133545195,0,,The London 'prentice boy,nla.obj-133545195,https://trove.nla.gov.au/work/18560633,
,"Ireland, Marion I",1929,Book,http://nla.gov.au/nla.obj-52822223,45,,"A survey of women in industry, Victoria, 1928 / by Marion I. Ireland",nla.obj-52822223,https://trove.nla.gov.au/work/18560799,
,"Akhurst, W. M. (William M.), 1822-1878",1870,Book,http://nla.gov.au/nla.obj-52771919,39,,"Harlequin Jack Sheppard, or, The disreputable detective, the clever kleptomaniac, and the plot of the piebald goblin : an entirely new and original Xmas pantomime / by W.M. Akhurst",nla.obj-52771919,https://trove.nla.gov.au/work/18560957,
,,1862,Book,http://nla.gov.au/nla.obj-52868912,87,,De tinmijnen op Billiton tot ultimo 1861 : ten gebruike voor de HH. Geemploijeerden der Billiton-Maatschappij,nla.obj-52868912,https://trove.nla.gov.au/work/18562140,
,Australian Board of Missions,1899,Book,http://nla.gov.au/nla.obj-497475025,28,,Yarrabah : Church of England Aboriginal Mission : rules and regulations,nla.obj-497475025,https://trove.nla.gov.au/work/18563014,
,"Gribble, J. B. (John Brown), 1847-1893",1879,Book,http://nla.gov.au/nla.obj-26177087,8,,A plea for the Aborigines of New South Wales / by J.B. Gribble,nla.obj-26177087,https://trove.nla.gov.au/work/18563039,
,"Groothoff, J",1893,Book,http://nla.gov.au/nla.obj-52869513,130,,Overzicht van de tin-exploitatie op het eiland Billiton / J. Groothoff,nla.obj-52869513,https://trove.nla.gov.au/work/18563676,
,"Yarrington, W. H. H. (William Henry Hazell)",1896,Book,http://nla.gov.au/nla.obj-193113295,24,,"Sermon preached at the opening of the Synod of the Diocese of Newcastle, at the Pro-Cathedral, Newcastle, June 8th, 1896 / by W.H.H. Yarrington",nla.obj-193113295,https://trove.nla.gov.au/work/18564521,
,"Vastey, Pompée-Valentin, baron de, -1820?",1817,Book,http://nla.gov.au/nla.obj-52874552,83,,"Reflexions on the blacks and whites : remarks upon a letter addressed by M. Mazères, a French ex-colonist, to J.C.L. Sismonde de Sismondi, containing observations on the blacks and whites, the civilization of Africa, the kingdom of Hayti, etc. / translated from the French of the Baron de Vastey, Knight of the Royal and Military Order of St. Henry, secretary of the king, member of the Privy Council, &c. by W.H.M.B",nla.obj-52874552,https://trove.nla.gov.au/work/18564868,
,"Sunderland, J. P. (James Povey)",1867,Book,http://nla.gov.au/nla.obj-52761182,10,,"A funeral oration delivered January 26, 1867, in the Congregational Church, Kew, on the occasion of the interment of the late Mrs. Connebee / by J.P. Sunderland",nla.obj-52761182,https://trove.nla.gov.au/work/18565147,
,"Mayes, C. Ernest (Charles Ernest)",1862,Book,http://nla.gov.au/nla.obj-41224211,204,,"The Australian builders' price-book : containing universal and permanent constants which the cost of ""labour only"" can be obtained at any rate of wages throughout the Australian colonies ... / by C. Mayes",nla.obj-41224211,https://trove.nla.gov.au/work/18565380,
,"Easton, Rose Ellen",1915,Book,http://nla.gov.au/nla.obj-649285806,2,,Graves at the Dardanelles,nla.obj-649285806,https://trove.nla.gov.au/work/18565517,
,"Fitzgerald, Paula",1919,Book,http://nla.gov.au/nla.obj-3036636,34,,The lady of the blue cloak / by Paula Fitzgerald ; illustrated by Agatha Fitzgerald,nla.obj-3036636,https://trove.nla.gov.au/work/18565545,
,"Spencer, Herbert, 1820-1903",1870-1987,Book,http://nla.gov.au/nla.obj-71524819,14,,The right to the use of the earth / by Herbert Spencer,nla.obj-71524819,https://trove.nla.gov.au/work/18565757,
,Land Reform League (Vic.),1871,Book,http://nla.gov.au/nla.obj-71524862,16,,The Land question in England,nla.obj-71524862,https://trove.nla.gov.au/work/18565914,
,"Mill, John Stuart, 1806-1873",1871,Book,http://nla.gov.au/nla.obj-71525754,16,,Selections from Mill's Political economy,nla.obj-71525754,https://trove.nla.gov.au/work/18566437,
,Land (Tenure) Reform League (Vic.),1872,Book,http://nla.gov.au/nla.obj-71527713,16,,[Principles and objects],nla.obj-71527713,https://trove.nla.gov.au/work/18566554,
,Land Reform League (Vic.),1871,Book,http://nla.gov.au/nla.obj-71531782,1,,Free trade : What it ought to be in a new country,nla.obj-71531782,https://trove.nla.gov.au/work/18566816,
,,1830,Book,http://nla.gov.au/nla.obj-72884296,1,,Van Dieman's Land,nla.obj-72884296,https://trove.nla.gov.au/work/18566939,
,"Fetherston, R. H. (Richard Herbert), 1868-",1919,Book,https://nla.gov.au/nla.obj-319412613,90,,"Report on 1. Australian Army Medical services overseas.  2. The medical services of Great Britain and the allies.  3. Re-education and re-establishment of war cripples in America, Europe, and India / by R.H. Fetherston to the Honorable the Minister of State for Defence",nla.obj-319412613,https://trove.nla.gov.au/work/18567980,
,,1945,Book,http://nla.gov.au/nla.obj-204067411,34,,H.M.S. Deersound : north to south,nla.obj-204067411,https://trove.nla.gov.au/work/18568267,
,Capricornus,1875,Book,http://nla.gov.au/nla.obj-71376312,36,,The squatting system of Australia / by Capricornus,nla.obj-71376312,https://trove.nla.gov.au/work/18568762,
,Capricornus,1877,Book,http://nla.gov.au/nla.obj-71451701,68,,The land law of the future / by Capricornus,nla.obj-71451701,https://trove.nla.gov.au/work/18568774,
,,1954,Book,http://nla.gov.au/nla.obj-38406213,16,,London labour and colonial freedom,nla.obj-38406213,https://trove.nla.gov.au/work/18568786,
,Capricornus,1877,Multi Volume Book,http://nla.gov.au/nla.obj-501309709,49,nla.obj-501285856,"Homestead settlement : grazing, past, present, and future / by Capricornus",nla.obj-501309709,https://trove.nla.gov.au/work/18568798,1.0
,Capricornus,1877,Multi Volume Book,http://nla.gov.au/nla.obj-71444572,50,nla.obj-501285856,"Homestead settlement : grazing, past, present, and future / by Capricornus",nla.obj-71444572,https://trove.nla.gov.au/work/18568798,2.0
nla.obj-501309709|nla.obj-71444572,Capricornus,1877,Multi Volume Book,http://nla.gov.au/nla.obj-501285856,0,,"Homestead settlement : grazing, past, present, and future / by Capricornus",nla.obj-501285856,https://trove.nla.gov.au/work/18568798,
,"McCay, Del. W",1915,Picture,http://nla.gov.au/nla.obj-151234776,0,,Gilgandra begins it / words written by Del. W. McCay for the Sydney Sun,nla.obj-151234776,https://trove.nla.gov.au/work/18569135,
,Victoria. Parliament,1872,Book,http://nla.gov.au/nla.obj-71795093,108,,"The Land Act 1869 : with the regulations, orders, and forms approved by the Governor in Council",nla.obj-71795093,https://trove.nla.gov.au/work/18569361,
,"Marshall-Hall, G. W. L. (George William Louis), 1862-1915",1890-1899,Book,http://nla.gov.au/nla.obj-43380728,60,,Aristodemus : a tragedy / by G.W.L. Marshall-Hall,nla.obj-43380728,https://trove.nla.gov.au/work/18569390,
,Victoria. Department of Lands and Agriculture,1881,Book,http://nla.gov.au/nla.obj-73004343,116,,"Regulations under the Land Act 1869, etc., up to 1st February 1881",nla.obj-73004343,https://trove.nla.gov.au/work/18569426,
,"Traill, W. H. (William Henry), 1844-1902",1877,Book,http://nla.gov.au/nla.obj-71957933,76,,"A plain explanation of the new Land Act of 1876, and regulations : specially designed for the information and guidance of selectors in every part of the colony / by W.H. Traill",nla.obj-71957933,https://trove.nla.gov.au/work/18569444,
,,1884,Book,http://nla.gov.au/nla.obj-72108238,14,,"A report upon the lands held by Evan Evans, in the Kimberley District of Western Australia",nla.obj-72108238,https://trove.nla.gov.au/work/18569957,
,Western Australia,1880,Book,http://nla.gov.au/nla.obj-84041151,12,,"Land regulations for the Kimberley District ... : proclaimed 29th November, 1880",nla.obj-84041151,https://trove.nla.gov.au/work/18570030,
,Western Australia,1879,Book,http://nla.gov.au/nla.obj-72774435,80,,"Land regulations for the colony of Western Australia, proclaimed 14th September, 1878",nla.obj-72774435,https://trove.nla.gov.au/work/18570097,
,"Humanity, (Writer)",1878,Multi Volume Book,http://nla.gov.au/nla.obj-406293758,16,nla.obj-406293629,"Sketches of Chinese character, illustrative of their moral and physical effect on the rising generation of Victoria / by Humanity",nla.obj-406293758,https://trove.nla.gov.au/work/18571194,1.0
,"Humanity, (Writer)",1878,Multi Volume Book,http://nla.gov.au/nla.obj-52775757,13,nla.obj-406293629,"Sketches of Chinese character, illustrative of their moral and physical effect on the rising generation of Victoria / by Humanity",nla.obj-52775757,https://trove.nla.gov.au/work/18571194,2.0
nla.obj-406293758|nla.obj-52775757,"Humanity, (Writer)",1878,Multi Volume Book,http://nla.gov.au/nla.obj-406293629,0,,"Sketches of Chinese character, illustrative of their moral and physical effect on the rising generation of Victoria / by Humanity",nla.obj-406293629,https://trove.nla.gov.au/work/18571194,
,"International Exhibition Sydney, N.S.W.) (1879 :",1879,Book,http://nla.gov.au/nla.obj-469776616,52,,South Australian court : official catalogue of exhibits,nla.obj-469776616,https://trove.nla.gov.au/work/18571458,
,"Bland, William, 1789-1868",1865-1866,Book,http://nla.gov.au/nla.obj-98978544,1,,Atmotic ship / by the Hon. W. Bland,nla.obj-98978544,https://trove.nla.gov.au/work/18571698,
,"Murray, A. W. (Archibald Wright), 1811-1892",1853,Book,http://nla.gov.au/nla.obj-430804432,20,,The claims of Western Polynesia on the friends of Christian missions in the Australian colonies / [A. W. Murray],nla.obj-430804432,https://trove.nla.gov.au/work/18573002,
,,1821,Book,http://nla.gov.au/nla.obj-266754485,16,,"Abduction : une nouvelle maniere d'attrapper une femme, or, A bold stroke for a wife / exemplified in Mr. Wakefield's New art of love ; together with his poetic declaration to Ellen, never before published ; and the proceedings connected with the abduction of his wife and no wife, Miss Turner",nla.obj-266754485,https://trove.nla.gov.au/work/18573373,
,"Johnstone, Bertha A. (Bertha Anne), 1895-1984",1944,Book,http://nla.gov.au/nla.obj-23129011,65,,Christy-Ann visits Trana / by Bertha A. Johnstone ; illustrated by Gwyn Duncan,nla.obj-23129011,https://trove.nla.gov.au/work/18573852,
,"A. J. O (Arthur James Ogilvy), 1834-",1887,Book,http://nla.gov.au/nla.obj-73419649,32,,The land / by A.J.O,nla.obj-73419649,https://trove.nla.gov.au/work/18575035,
,New Zealand,1886,Book,http://nla.gov.au/nla.obj-72114278,100,,"Handy book on the Land Transfer Act, 1885",nla.obj-72114278,https://trove.nla.gov.au/work/18575056,
,"Newland, Simpson, 1835-1925",1888,Book,http://nla.gov.au/nla.obj-72111399,44,,Our waste lands / by S. Newland,nla.obj-72111399,https://trove.nla.gov.au/work/18575100,
,"Glynn, P. McM. (Patrick McMahon), 1855-1931",1910,Book,http://nla.gov.au/nla.obj-72108280,16,,"Speech by the Hon. P. McMahon Glynn, M.P., on the Land Tax AssessmentBill",nla.obj-72108280,https://trove.nla.gov.au/work/18575154,
,"Quick, John, Sir, 1852-1932",1883,Multi Volume Book,http://nla.gov.au/nla.obj-471526053,108,nla.obj-471526179,The history of land tenure in the colony of Victoria / by John Quick,nla.obj-471526053,https://trove.nla.gov.au/work/18575707,1.0
,"Quick, John, Sir, 1852-1932",1883,Multi Volume Book,http://nla.gov.au/nla.obj-72161831,108,nla.obj-471526179,The history of land tenure in the colony of Victoria / by John Quick,nla.obj-72161831,https://trove.nla.gov.au/work/18575707,2.0
nla.obj-471526053|nla.obj-72161831,"Quick, John, Sir, 1852-1932",1883,Multi Volume Book,http://nla.gov.au/nla.obj-471526179,0,,The history of land tenure in the colony of Victoria / by John Quick,nla.obj-471526179,https://trove.nla.gov.au/work/18575707,
,,1881,Book,http://nla.gov.au/nla.obj-76404921,1,,Dispatch almanac 1881,nla.obj-76404921,https://trove.nla.gov.au/work/18575743,
,Western Australia. Department of Lands and Surveys,1897,Book,http://nla.gov.au/nla.obj-71273779,38,,"The land selector's guide to the Crown Lands of Western Australia : being explanatory notes respecting land selection ... / issued by direction of George Throssell, Commissioner of Crown Lands",nla.obj-71273779,https://trove.nla.gov.au/work/18575925,
,,1910,Book,http://nla.gov.au/nla.obj-356788664,21,,"Western Australia in 1908-9 : facts and figures for the intending emigrant, tourist or capitalist",nla.obj-356788664,https://trove.nla.gov.au/work/18575943,
,"Strachan, John, 1838-1918",1874,Book,http://nla.gov.au/nla.obj-669402272,68,,"Twinkle, twinkle little star, or, Harlequin Jack Frost, Little Tom Tucker and The old woman that lived in a shoe! : a grand comic Xmas pantomime / written by John Strachan ; localized, vocalized, organized, familiarized, and generally acclimatized, by Marcus Clarke ; and produced at the Theatre Royal, Melbourne, on Boxing night , December 26th, 1873, under the management of Messrs. Harwood, Stewart, Hennings and Coppin",nla.obj-669402272,https://trove.nla.gov.au/work/18576299,
,"Adelphi Theatre (Edinburgh, Scotland)",1851,Book,http://nla.gov.au/nla.obj-76405133,1,,"First night this season of Shakespeare's tragedy of Richard Third, or the battle of Bosworth Field... / Edinburgh Adelphi Theatre",nla.obj-76405133,https://trove.nla.gov.au/work/18576311,
,"Robertson, J. Edward",1914,Book,http://nla.gov.au/nla.obj-84376635,148,,The progress of Wagga Wagga and district : the commercial centre of the Riverina / compiled and published by J. Edward Robertson,nla.obj-84376635,https://trove.nla.gov.au/work/18576359,
,South Australia. Intelligence and Tourist Bureau,1915,Book,http://nla.gov.au/nla.obj-241912264,46,,"The William R. Randell Lock, Blanchetown, River Murray : stone to mark the site laid by His Excellency the Governor (Sir Henry Galway, K.C.M.G., D.S.O.), June 5th, 1915 : souvenir of visit by Parliamentary Party",nla.obj-241912264,https://trove.nla.gov.au/work/18576958,
,Australian Home Journal,1930,Book,http://nla.gov.au/nla.obj-43569687,16,,Jams and pickles,nla.obj-43569687,https://trove.nla.gov.au/work/18577065,
,,1882,Multi Volume Book,http://nla.gov.au/nla.obj-746260719,100,nla.obj-746259528,"The Vortices demonstration of ""Nature"", or, The philosophy of observant astronomy : the heavens, the solar system - and astronomy - in a wholly new aspect",nla.obj-746260719,https://trove.nla.gov.au/work/18577483,1.0
,,1882,Multi Volume Book,http://nla.gov.au/nla.obj-70183000,100,nla.obj-746259528,"The Vortices demonstration of ""Nature"", or, The philosophy of observant astronomy : the heavens, the solar system - and astronomy - in a wholly new aspect",nla.obj-70183000,https://trove.nla.gov.au/work/18577483,2.0
nla.obj-746260719|nla.obj-70183000,,1882,Multi Volume Book,http://nla.gov.au/nla.obj-746259528,0,,"The Vortices demonstration of ""Nature"", or, The philosophy of observant astronomy : the heavens, the solar system - and astronomy - in a wholly new aspect",nla.obj-746259528,https://trove.nla.gov.au/work/18577483,
,Wesleyan Methodist Missionary Society,1861,Book,http://nla.gov.au/nla.obj-193176937,16,,Recent intelligence from the Wesleyan missions in Australasia and Polynesia,nla.obj-193176937,https://trove.nla.gov.au/work/18577653,
,,1866,Book,http://nla.gov.au/nla.obj-193162704,4,,[Rev. Daniel James Draper],nla.obj-193162704,https://trove.nla.gov.au/work/18577704,
,Concrete Industries (Australia),1949,Book,http://nla.gov.au/nla.obj-97961947,27,,Concrete Industries (Australia) Limited,nla.obj-97961947,https://trove.nla.gov.au/work/18577838,
,"Rait, Basil",1946,Book,http://nla.gov.au/nla.obj-363434730,25,,"Landon Fairthorne : he builded better than he knew : a family story of 100 years, 1846-1946",nla.obj-363434730,https://trove.nla.gov.au/work/18578063,
,Victoria. Department of Crown Lands and Survey,1899,Book,http://nla.gov.au/nla.obj-71357541,45,,"Handbook of the Land Act 1898, and other land acts : present and future occupiers",nla.obj-71357541,https://trove.nla.gov.au/work/18578148,
,"Edward, VII, King of Great Britain 1841-1910",1901,Book,http://nla.gov.au/nla.obj-343558438,1,,Message from His Majesty King Edward the Seventh : His Excellency the Lieutenant-Governor directs the publication for general information... / William John Lyne,nla.obj-343558438,https://trove.nla.gov.au/work/18578201,
,"Reid, William Fergusson, 1837-1900",1885,Book,http://nla.gov.au/nla.obj-71193845,27,,"Draft of measure por [i.e. for] the alienation, settlement and utilization of Crown lands in the Australian colonies, in ten clauses / by William Fergusson Reid",nla.obj-71193845,https://trove.nla.gov.au/work/18578258,
,"Grey, George, Sir, 1812-1898",1889,Book,http://nla.gov.au/nla.obj-83913274,24,,The Irish land question / by Sir George Grey,nla.obj-83913274,https://trove.nla.gov.au/work/18578275,
,Australia. Treasury,1911,Book,http://nla.gov.au/nla.obj-72764985,72,,Ready reckoner-federal land tax : for the purpose of assisting taxpayers to readily ascertain the amount of tax payable by them under the Federal Land Tax Act 1910 ... / compiled at the request of the Commonwealth Treasurer under the direction of G.H. Knibbs ... ..,nla.obj-72764985,https://trove.nla.gov.au/work/18578301,
,"Brown, A. G. (Austin Gavin)",1900,Book,http://nla.gov.au/nla.obj-74110722,20,,"""The Leader"" land selector's guide / by  A.G. Brown",nla.obj-74110722,https://trove.nla.gov.au/work/18578315,
,,1877,Book,http://nla.gov.au/nla.obj-83964398,24,,The Land question,nla.obj-83964398,https://trove.nla.gov.au/work/18578326,
,"Cole, George Ward, 1793-1879",1865,Book,http://nla.gov.au/nla.obj-72922898,56,,Correspondence relative to Captain George Ward Cole's claim to exemption from wharfage dues : also Counsel's speech before the Select Committee of the Legislative Assembly on the claims of owners of private wharves,nla.obj-72922898,https://trove.nla.gov.au/work/18579150,
,,1867,Picture,http://nla.gov.au/nla.obj-133494038,0,,"The Real Property Act : the following opinions of the press, of the most eminent legal authorities...against the old system of dealing with titles of land, and in favor of the new system as carried out under the Real Property, or Torrens Act.....",nla.obj-133494038,https://trove.nla.gov.au/work/18579584,
,,1830,Book,http://nla.gov.au/nla.obj-72880691,1,,Penal servitude!,nla.obj-72880691,https://trove.nla.gov.au/work/18579820,
,"Chalmers Free Church (Lauceston, Tas.)",1884,Book,http://nla.gov.au/nla.obj-193201545,4,,"Chalmers Free Church, Launceston, tea meeting, Friday evening, June 13, 1884 : programme",nla.obj-193201545,https://trove.nla.gov.au/work/18580148,
,,1868,Book,http://nla.gov.au/nla.obj-193284183,28,,Ferrari on the formation and cultivation of the voice,nla.obj-193284183,https://trove.nla.gov.au/work/18580162,
,"Richmond Wesleyan Church (Melbourne, Vic.)",1886,Book,http://nla.gov.au/nla.obj-193122728,4,,"Evening with the Wesleys, to be held in the Richmond Wesleyan Church, on Monday evening, July 19, 1886. : programme",nla.obj-193122728,https://trove.nla.gov.au/work/18580170,
,"Gollmick, William",1900-1920,Book,http://nla.gov.au/nla.obj-193141352,2,,The sun had set o'er Juda's land : anthem / words by Charles S. Falconbridge ; music by William Gollmick,nla.obj-193141352,https://trove.nla.gov.au/work/18580263,
,"Australasian Catholic Congress Melbourne, Vic.) 1904 :",1904,Book,http://nla.gov.au/nla.obj-193261246,12,,"To the hierarchy and clergy of Australasia, on the occasion of the second Australasian Catholic Congress, Melbourne, 1904, greeting from the Sisters of Charity, Melbourne",nla.obj-193261246,https://trove.nla.gov.au/work/18580279,
,"Sheridan, J. B",1880,Book,http://nla.gov.au/nla.obj-73004528,28,,First impressions of a law reformer / by J.B. Sheridan,nla.obj-73004528,https://trove.nla.gov.au/work/18580321,
,Victoria. Parliament,1862,Book,http://nla.gov.au/nla.obj-73310125,108,,"An Act to simplify the laws relating to the transfer and encumbrance of freehold, and other interests in land : with copious index / by James McKean",nla.obj-73310125,https://trove.nla.gov.au/work/18580411,
,Overseas Telecommunications Commission (Australia),1963,Book,http://nla.gov.au/nla.obj-42173139,29,,"Compac : souvenir commemorating the opening of the Commonwealth cable by H.M. the Queen, Elizabeth II December 3, 1963",nla.obj-42173139,https://trove.nla.gov.au/work/18580793,
,Carnation Company Pty. Ltd,1951,Book,http://nla.gov.au/nla.obj-38108554,26,,Modern infant feeding with unsweetened evaporated milk,nla.obj-38108554,https://trove.nla.gov.au/work/18581157,
,British Pacific Fleet. Naval Information Liaison Division,1945,Book,https://nla.gov.au/nla.obj-486285389,15,,Thank you Australia,nla.obj-486285389,https://trove.nla.gov.au/work/18582861,
,"Sutton, G. H",1898,Book,http://nla.gov.au/nla.obj-193008956,12,,A sacred musical idyl entitled the Sabbath / composed by G.H. Sutton,nla.obj-193008956,https://trove.nla.gov.au/work/18583014,
,,1900-1920,Book,http://nla.gov.au/nla.obj-209926941,2,,Melbourne Church of England Grammar School [songsheet],nla.obj-209926941,https://trove.nla.gov.au/work/18583056,
,"Victorian Congregational Jubilee, 1888",1888,Book,http://nla.gov.au/nla.obj-209947598,28,,"Victorian Congregational Jubilee, 1888: Intercolonial conference October 7th to 18th : programme of public meetings, services, &c., selection of hymns, list of intercolonial delegates",nla.obj-209947598,https://trove.nla.gov.au/work/18583114,
,Zion Independent Chapel,1900,Book,http://nla.gov.au/nla.obj-214054328,2,,"Hymns for the Sunday School anniversary, Sunday, April 1st, 1900 : Zion Independent Chapel, Thomas Street, Hawthorn",nla.obj-214054328,https://trove.nla.gov.au/work/18583122,
,Zion Independent Chapel,1899,Book,http://nla.gov.au/nla.obj-214012107,2,,"Hymns for the Sunday School anniversary, Sunday, April 30th, 1899 : Zion Independent Chapel, Thomas Street, Hawthorn",nla.obj-214012107,https://trove.nla.gov.au/work/18583129,
,,1860-1899,Book,http://nla.gov.au/nla.obj-209930798,4,,Hymns to be sung by the scholars,nla.obj-209930798,https://trove.nla.gov.au/work/18583135,
,"Rennell, James, 1742-1830",1780,Picture,http://nla.gov.au/nla.obj-339123827,0,,"A Bengal atlas : containing maps of the theatre of war and commerce on that side of Hindoostan / compiled from the original surveys; and published by order of the Honourable the Court of Directors for the Affairs of the East India Company ; by James Rennell late Major of Engineers, and Surveyors General in Bengal",nla.obj-339123827,https://trove.nla.gov.au/work/185844325,
,"Torrens, Robert, Sir, 1814-1884",1859-1962,Book,http://nla.gov.au/nla.obj-705306784,192,,"The South Australian system of conveyancing by registration of title : with instructions for the guidance of parties dealing, illustrated by copies of the books and forms in use in the Lands Titles Office / by Robert R. Torrens, to which is added the South Australian Real Property Act as amended in the sessions of 1858, with a copious index by Henry Gawler",nla.obj-705306784,https://trove.nla.gov.au/work/18584453,
,"Garnett, Constance, 1861-1946",1926,Book,http://nla.gov.au/nla.obj-52878216,6,,Constance Garnett to Joseph Conrad,nla.obj-52878216,https://trove.nla.gov.au/work/18584523,
