children,contributors,date,form,fulltext_url,pages,parent,title,trove_id,url,volume
,"Lang, John Dunmore, 1799-1878",1877,Book,http://nla.gov.au/nla.obj-415141094,1,,The recent outrage at the Scots Church,nla.obj-415141094,https://trove.nla.gov.au/work/10223781,
,New South Wales. Parliament. Legislative Assembly,1883,Book,http://nla.gov.au/nla.obj-33662998,56,,"Steamship ""Gunga"" (quarantining of) : copies of all correspondence, reports, minutes ... having reference to the recent quarantining of the steamship ""Gunga""",nla.obj-33662998,https://trove.nla.gov.au/work/10223837,
,,1914,Book,http://nla.gov.au/nla.obj-699480152,342,,"Election laws of the State of Montana with annotations, 1914 : arranged and compiled from revised codes of Montana and session laws of 1909, 1911 and 1913 / A. M. Alderson, Secretary of State",nla.obj-699480152,https://trove.nla.gov.au/work/10230622,
,"Villeval, Albin",1895,Book,http://nla.gov.au/nla.obj-405579096,50,,Victor Hugo : a biographical study / by Albin Villeval,nla.obj-405579096,https://trove.nla.gov.au/work/10232504,
,"Taylor, A. G. (Adolphus George), 1857-1900",1888,Book,https://nla.gov.au/nla.obj-450016392,210,,The law and practice of New South Wales letters patent for inventions and improvements in the arts and manufactures / by A.G. Taylor,nla.obj-450016392,https://trove.nla.gov.au/work/10243305,
,"Clarke, Henry, Mrs",1800-1934,Book,http://nla.gov.au/nla.obj-16130181,238,,The bushranger's secret / by Mrs. Henry Clarke ; illustrated by W.S. Stacey,nla.obj-16130181,https://trove.nla.gov.au/work/10249600,
,"Lister, Gladys",1942,Book,http://nla.gov.au/nla.obj-24059363,152,,Dawn Mother / by Gladys Lister,nla.obj-24059363,https://trove.nla.gov.au/work/10249655,
,"Taylor, Alfred J. (Alfred Joseph)",1919,Book,http://nla.gov.au/nla.obj-394081077,12,,"Forty-five years public librarian, Mr. Alfred J. Taylor : some incidents in his career, a many-sided and useful life",nla.obj-394081077,https://trove.nla.gov.au/work/10261637,
,M. A. B,1920-1929,Book,http://nla.gov.au/nla.obj-22582362,120,,Mona Desmond and other stories / by M.A.B,nla.obj-22582362,https://trove.nla.gov.au/work/10263284,
,"Broinowski, Gracius J. (Gracius Joseph), 1837-1913",1888-1981,Book,http://nla.gov.au/nla.obj-33531660,3,,The cockatoos and nestors of Australia and New Zealand / by Gracius J. Broinowski,nla.obj-33531660,https://trove.nla.gov.au/work/10265770,
,"Newbould, Frank, 1887-1951",1920-1929,Book,https://nla.gov.au/nla.obj-492966636,17,,Poster drawing. Lesson twenty-three / specially written by Frank Newbould ; with reproductions of posters by the author and other artists,nla.obj-492966636,https://trove.nla.gov.au/work/10268330,
,H.V. McKay Pty. Ltd,1915-1929,Book,http://nla.gov.au/nla.obj-260691414,40,,Sunshine farm implements,nla.obj-260691414,https://trove.nla.gov.au/work/10271929,
,Great Britain. Colonial Office,1883,Book,http://nla.gov.au/nla.obj-52859196,23,,"Further correspondence respecting New Guinea (In continuation of [C.-1566], July 1876, and [C.-3167], May 1883) : presented to the House of Commons by Command of Her Majesty, July 1883",nla.obj-52859196,https://trove.nla.gov.au/work/10273522,
,Great Britain. Colonial Office,1883-1981,Book,http://nla.gov.au/nla.obj-52859434,148,,Woman in the European Middle Ages / by Arthur Frederick Ide,nla.obj-52859434,https://trove.nla.gov.au/work/10273559,
,"Daley, Charles, 1859-1947",1924,Book,http://nla.gov.au/nla.obj-367818716,66,,"Baron Sir Ferdinand Von Mueller : botanist, explorer, and geographer / by Chas. Daley",nla.obj-367818716,https://trove.nla.gov.au/work/10280473,
,"De Mole, F. E. (Fanny Elizabeth), 1835-1866",1861-1981,Book,http://nla.gov.au/nla.obj-33536409,47,,Wild flowers of South Australia / [F.E.D.],nla.obj-33536409,https://trove.nla.gov.au/work/10282429,
,Brown & Broad Newstead Homes,1930,Book,http://nla.gov.au/nla.obj-746612266,45,,Newstead homes : ready to erect / [193-],nla.obj-746612266,https://trove.nla.gov.au/work/10287251,
,"Wilkinson, R. J. (Richard James), 1867-1941",1932-1969,Multi Volume Book,http://nla.gov.au/nla.obj-60272771,644,nla.obj-60272760,A Malay-English dictionary (Romanised) / by R.J. Wilkinson,nla.obj-60272771,https://trove.nla.gov.au/work/10293327,1.0
,"Wilkinson, R. J. (Richard James), 1867-1941",1932-1969,Multi Volume Book,http://nla.gov.au/nla.obj-60272783,674,nla.obj-60272760,A Malay-English dictionary (Romanised) / by R.J. Wilkinson,nla.obj-60272783,https://trove.nla.gov.au/work/10293327,2.0
nla.obj-60272771|nla.obj-60272783,"Wilkinson, R. J. (Richard James), 1867-1941",1932-1969,Multi Volume Book,http://nla.gov.au/nla.obj-60272760,0,,A Malay-English dictionary (Romanised) / by R.J. Wilkinson,nla.obj-60272760,https://trove.nla.gov.au/work/10293327,
,University of Melbourne. Department of History,1919,Book,http://nla.gov.au/nla.obj-36577042,162,,Historical studies by students of the School of History in the Melbourne University / edited by M.D. Clarke and R. Lowenstern,nla.obj-36577042,https://trove.nla.gov.au/work/10297408,
,"Maltby, Peg, 1899-1984",1945-1977,Book,http://nla.gov.au/nla.obj-25680157,36,,Nutchen of the forest / written & illustrated by Peg Maltby,nla.obj-25680157,https://trove.nla.gov.au/work/10306119,
,"Cole, E. W. (Edward William), 1832-1918",1879-2018,Book,http://nla.gov.au/nla.obj-281519562,88,,"Cole's funny picture book : the funniest picture book in the world / restorative editors for this 75th traditional edition, Cole Turnley and Merron Cullum",nla.obj-281519562,https://trove.nla.gov.au/work/10316503,
,"Higgins, H. B. (Henry Bournes), 1851-1929",1896-1985,Book,http://nla.gov.au/nla.obj-317545954,27,,"Another isthmus in history : a lecture delivered before the University Historical Society on July 13th, 1896 / by Henry Bournes Higgins",nla.obj-317545954,https://trove.nla.gov.au/work/10327581,
,"Green, James, 1865-1948",1917,Book,http://nla.gov.au/nla.obj-52799059,151,,News from no man's land / by James Green ; with introduction by Sir W.R. Birdwood,nla.obj-52799059,https://trove.nla.gov.au/work/10334046,
